gubun,mem_id,cor_id,cit_id,cde_id,cde_price,cor_datetime
akbonara,1218958,abnr2016112019,3802,5133,1000,2016-11-20 00:00:00
akbonara,1235887,abnr2016112025,2770,3547,1000,2016-11-20 00:00:00
akbonara,1235887,abnr2016112027,2590,3322,1000,2016-11-20 00:00:00
akbonara,1235887,abnr2016112028,1893,2492,1000,2016-11-20 00:00:00
akbonara,1235887,abnr2016112031,4809,6518,500,2016-11-20 00:00:00
akbonara,1232680,abnr2016112040,5610,7537,500,2016-11-20 00:00:00
akbonara,1204994,abnr2016112042,3200,4365,1000,2016-11-20 00:00:00
akbonara,1231143,abnr2016112046,6243,8247,500,2016-11-20 00:00:00
akbonara,1228711,abnr2016112049,3057,3930,1000,2016-11-20 00:00:00
akbonara,1235896,abnr2016112051,1800,2363,5000,2016-11-20 00:00:00
akbonara,1210357,abnr2016112058,4137,5546,500,2016-11-20 00:00:00
akbonara,1225211,abnr2016112073,3340,4317,1000,2016-11-20 00:00:00
akbonara,1235916,abnr2016112082,6963,9113,1000,2016-11-20 00:00:00
akbonara,1231956,abnr2016112088,6407,8484,500,2016-11-20 00:00:00
akbonara,1230545,abnr2016112096,420,503,500,2016-11-20 00:00:00
akbonara,1230545,abnr2016112097,1249,1595,1000,2016-11-20 00:00:00
akbonara,1230545,abnr2016112098,2074,2694,1000,2016-11-20 00:00:00
akbonara,1235921,abnr2016112099,3783,5098,1000,2016-11-20 00:00:00
akbonara,1208871,abnr2016112110,5402,7254,500,2016-11-21 00:00:00
akbonara,1224696,abnr20161121100,22824,8307,500,2016-11-21 00:00:00
akbonara,1208871,abnr2016112111,6151,8119,500,2016-11-21 00:00:00
akbonara,1204989,abnr20161121110,7432,9582,1000,2016-11-21 00:00:00
akbonara,1204989,abnr20161121111,6245,8249,500,2016-11-21 00:00:00
akbonara,1218859,abnr20161121113,1136,1447,1000,2016-11-21 00:00:00
akbonara,1128131,abnr20161121115,1698,2234,1000,2016-11-21 00:00:00
akbonara,1216793,abnr2016112112,16023,8652,700,2016-11-21 00:00:00
akbonara,1224824,abnr20161121121,6279,8296,500,2016-11-21 00:00:00
akbonara,1233230,abnr20161121125,2582,3311,1000,2016-11-21 00:00:00
akbonara,1224560,abnr20161121126,4909,6675,500,2016-11-21 00:00:00
akbonara,1218454,abnr20161121131,3374,4364,1000,2016-11-21 00:00:00
akbonara,1201564,abnr20161121134,4497,6116,500,2016-11-21 00:00:00
akbonara,1165516,abnr20161121135,3592,4757,1000,2016-11-21 00:00:00
akbonara,1101649,abnr20161121136,4941,6741,1000,2016-11-21 00:00:00
akbonara,1101649,abnr20161121137,4937,6733,1000,2016-11-21 00:00:00
akbonara,1101649,abnr20161121138,4936,6731,1000,2016-11-21 00:00:00
akbonara,1101649,abnr20161121140,4935,6729,1000,2016-11-21 00:00:00
akbonara,1101649,abnr20161121141,7231,9381,1000,2016-11-21 00:00:00
akbonara,1181671,abnr2016112118,2084,2705,1000,2016-11-21 00:00:00
akbonara,1181671,abnr2016112119,1831,2405,1000,2016-11-21 00:00:00
akbonara,1181671,abnr2016112120,1340,1734,1000,2016-11-21 00:00:00
akbonara,1181671,abnr2016112121,5503,7376,1000,2016-11-21 00:00:00
akbonara,1216578,abnr2016112123,1450,1894,1000,2016-11-21 00:00:00
akbonara,1235951,abnr2016112126,2494,3202,700,2016-11-21 00:00:00
akbonara,1171290,abnr2016112131,3937,5310,500,2016-11-21 00:00:00
akbonara,1235491,abnr2016112133,1328,1718,1000,2016-11-21 00:00:00
akbonara,1219593,abnr2016112141,3794,5118,1000,2016-11-21 00:00:00
akbonara,1229998,abnr2016112143,6268,8284,500,2016-11-21 00:00:00
akbonara,1157825,abnr2016112145,7502,9652,1000,2016-11-21 00:00:00
akbonara,1233230,abnr2016112151,6232,8235,500,2016-11-21 00:00:00
akbonara,1233230,abnr2016112154,5509,7382,500,2016-11-21 00:00:00
akbonara,1227862,abnr2016112155,4497,6117,1000,2016-11-21 00:00:00
